ecosystem,namespace,name,version,repo_url,resolution_source
cargo,,ascii-canvas,3.0.0,https://github.com/lalrpop/ascii-canvas,deps_dev
cargo,,ash,0.32.1,https://github.com/ash-rs/ash,deps_dev
cargo,,ash,0.37.3+1.3.251,https://github.com/ash-rs/ash,deps_dev
cargo,,ash,0.38.0+1.3.281,https://github.com/ash-rs/ash,deps_dev
cargo,,ash-window,0.6.0,https://github.com/ash-rs/ash,deps_dev
cargo,,ashmem,0.1.2,https://github.com/kinetiknz/ashmem-rs,deps_dev
cargo,,askama,0.12.0,https://github.com/askama-rs/askama,deps_dev
cargo,,askama_derive,0.12.1,https://github.com/askama-rs/askama,deps_dev
cargo,,askama_escape,0.10.3,https://github.com/askama-rs/askama,deps_dev
cargo,,asn1-rs,0.6.2,https://github.com/rusticata/asn1-rs,deps_dev
cargo,,asn1-rs-derive,0.5.1,https://github.com/rusticata/asn1-rs,deps_dev
cargo,,asn1-rs-impl,0.2.0,https://github.com/rusticata/asn1-rs,deps_dev
cargo,,assert-impl,0.1.3,https://github.com/upsuper/assert-impl,deps_dev
cargo,,assert-json-diff,2.0.2,https://github.com/davidpdrsn/assert-json-diff,deps_dev
cargo,,assert_matches,1.5.0,https://github.com/murarth/assert_matches,deps_dev
cargo,,ast_node,2.0.0,https://github.com/swc-project/swc,deps_dev
cargo,,ast_node,3.0.0,https://github.com/swc-project/swc,deps_dev
cargo,,ast_node,3.0.3,https://github.com/swc-project/swc,deps_dev
cargo,,ast_node,4.0.0,https://github.com/swc-project/swc,deps_dev
cargo,,async-attributes,1.1.2,https://github.com/async-rs/async-attributes,deps_dev
cargo,,async-broadcast,0.5.1,https://github.com/smol-rs/async-broadcast,deps_dev
cargo,,async-channel,1.6.1,https://github.com/smol-rs/async-channel,deps_dev
cargo,,async-channel,1.9.0,https://github.com/smol-rs/async-channel,deps_dev
cargo,,async-channel,2.2.0,https://github.com/smol-rs/async-channel,deps_dev
cargo,,async-channel,2.3.1,https://github.com/smol-rs/async-channel,deps_dev
cargo,,async-compat,0.2.1,https://github.com/smol-rs/async-compat,deps_dev
cargo,,async-compression,0.3.15,https://github.com/Nullus157/async-compression,deps_dev
cargo,,async-compression,0.4.18,https://github.com/Nullus157/async-compression,deps_dev
cargo,,async-compression,0.4.6,https://github.com/Nullus157/async-compression,deps_dev
cargo,,async-compression,0.4.7,https://github.com/Nullus157/async-compression,deps_dev
cargo,,async-executor,1.13.0,https://github.com/smol-rs/async-executor,deps_dev
cargo,,async-executor,1.4.1,https://github.com/smol-rs/async-executor,deps_dev
cargo,,async-executor,1.5.1,https://github.com/smol-rs/async-executor,deps_dev
cargo,,async-executor,1.8.0,https://github.com/smol-rs/async-executor,deps_dev
cargo,,async-fs,1.5.0,https://github.com/smol-rs/async-fs,deps_dev
cargo,,async-global-executor,2.3.1,https://github.com/Keruspe/async-global-executor,deps_dev
cargo,,async-global-executor,2.4.1,https://github.com/Keruspe/async-global-executor,deps_dev
cargo,,async-io,1.13.0,https://github.com/smol-rs/async-io,deps_dev
cargo,,async-io,1.7.0,https://github.com/smol-rs/async-io,deps_dev
cargo,,async-io,2.3.1,https://github.com/smol-rs/async-io,deps_dev
cargo,,async-io,2.3.2,https://github.com/smol-rs/async-io,deps_dev
cargo,,async-io,2.3.3,https://github.com/smol-rs/async-io,deps_dev
cargo,,async-lock,2.5.0,https://github.com/smol-rs/async-lock,deps_dev
cargo,,async-lock,2.8.0,https://github.com/smol-rs/async-lock,deps_dev
cargo,,async-lock,3.3.0,https://github.com/smol-rs/async-lock,deps_dev
cargo,,async-lock,3.4.0,https://github.com/smol-rs/async-lock,deps_dev
cargo,,async-net,1.6.1,https://github.com/smol-rs/async-net,deps_dev
cargo,,async-object-pool,0.1.4,https://github.com/alexliesenfeld/async-object-pool,deps_dev
cargo,,async-process,1.4.0,https://github.com/smol-rs/async-process,deps_dev
cargo,,async-process,1.8.1,https://github.com/smol-rs/async-process,deps_dev
cargo,,async-recursion,1.1.1,https://github.com/dcchut/async-recursion,deps_dev
cargo,,async-signal,0.2.6,https://github.com/smol-rs/async-signal,deps_dev
cargo,,async-signal,0.2.9,https://github.com/smol-rs/async-signal,deps_dev
cargo,,async-sqlite,0.5.3,https://github.com/ryanfowler/async-sqlite,deps_dev
cargo,,async-std,1.12.0,https://github.com/async-rs/async-std,deps_dev
cargo,,async-stream,0.3.3,https://github.com/tokio-rs/async-stream,deps_dev
cargo,,async-stream,0.3.4,https://github.com/tokio-rs/async-stream,deps_dev
cargo,,async-stream,0.3.6,https://github.com/tokio-rs/async-stream,deps_dev
cargo,,async-stream-impl,0.3.3,https://github.com/tokio-rs/async-stream,deps_dev
cargo,,async-stream-impl,0.3.4,https://github.com/tokio-rs/async-stream,deps_dev
cargo,,async-stream-impl,0.3.6,https://github.com/tokio-rs/async-stream,deps_dev
cargo,,async-task,4.2.0,https://github.com/smol-rs/async-task,deps_dev
cargo,,async-task,4.3.0,https://github.com/smol-rs/async-task,deps_dev
cargo,,async-task,4.4.0,https://github.com/smol-rs/async-task,deps_dev
cargo,,async-task,4.7.0,https://github.com/smol-rs/async-task,deps_dev
cargo,,async-task,4.7.1,https://github.com/smol-rs/async-task,deps_dev
cargo,,async-trait,0.1.58,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.68,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.77,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.79,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.80,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.83,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.85,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.86,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.88,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-trait,0.1.89,https://github.com/dtolnay/async-trait,deps_dev
cargo,,async-tungstenite,0.23.0,https://github.com/sdroege/async-tungstenite,deps_dev
cargo,,atoi,2.0.0,https://github.com/pacman82/atoi-rs,deps_dev
cargo,,atomic,0.4.6,https://github.com/Amanieu/atomic-rs,deps_dev
cargo,,atomic,0.5.1,https://github.com/Amanieu/atomic-rs,deps_dev
cargo,,atomic,0.5.3,https://github.com/Amanieu/atomic-rs,deps_dev
cargo,,atomic-polyfill,0.1.11,https://github.com/embassy-rs/atomic-polyfill,deps_dev
cargo,,atomic-waker,1.0.0,https://github.com/smol-rs/atomic-waker,deps_dev
cargo,,atomic-waker,1.1.1,https://github.com/smol-rs/atomic-waker,deps_dev
